Activity Type,Date,Favorite,Title,Race,Distance,Calories,Time,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Bike Cadence,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Running,2/16/2014 8:16,FALSE,Untitled,,13.11,"1,068",2:00:35,--,--,9:12,1:13,221,183,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,8/22/2015 7:22,FALSE,Alameda Running,,13.1,"1,071",2:07:01,183,195,9:42,6:36,36,43,0.91,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,11/16/2013 8:18,FALSE,Untitled,,13.1,"1,093",1:58:22,--,--,9:02,6:14,73,84,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,6/16/2013 10:00,FALSE,Half Marathon Personal Record,1,13.1,--,1:53:49,--,--,8:42,--,--,--,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,9/14/2013 7:09,FALSE,Untitled,,13.09,"1,136",2:17:25,--,--,10:30,6:05,127,145,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,5/20/2017 7:00,FALSE,Alameda Running,,13.08,"1,050",2:07:28,180,193,9:45,7:18,46,46,0.92,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,12/13/2014 7:23,FALSE,Untitled,,13.07,"1,066",1:54:28,--,--,8:45,6:55,32,32,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,6/14/2014 7:13,FALSE,Untitled,,13.07,"1,062",1:57:03,--,--,8:57,7:13,22,26,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,3/1/2014 7:31,FALSE,Untitled,,13.07,"1,065",2:09:31,--,--,9:54,7:28,118,131,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,7/12/2014 7:24,FALSE,Untitled,,13.06,"1,063",2:05:24,--,--,9:36,3:49,662,739,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,5/24/2014 8:07,FALSE,Danville Half,1,13.04,"1,068",1:55:32,--,--,8:52,6:52,239,245,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,10/25/2014 7:56,FALSE,Untitled,,13.01,"1,063",2:03:03,--,--,9:28,7:20,37,39,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,8/5/2017 7:05,FALSE,Alameda Running,,13,"1,023",2:00:02,183,197,9:14,6:42,23,23,0.95,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,7/22/2017 8:10,FALSE,Oakland Running,,13,"1,027",2:08:08,172,195,9:51,5:59,433,420,0.95,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,11/10/2017 7:12,FALSE,Kirkland Running,,12.76,998,2:13:20,164,245,10:27,7:09,298,315,0.94,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,13,0
Running,8/1/2015 7:45,FALSE,Alameda Running,,12.74,"1,045",2:07:14,180,194,9:59,7:40,18,18,0.9,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,3/14/2015 7:38,FALSE,Alameda Running,,12.67,"1,034",1:59:15,--,--,9:25,4:19,23,24,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,1/2/2016 8:25,FALSE,Alameda Running,,12.54,"1,033",2:07:44,180,195,10:11,6:37,24,24,0.88,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,9/8/2013 7:13,FALSE,Untitled,,12.52,"1,089",2:09:16,--,--,10:19,6:45,189,197,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,1/9/2016 8:59,FALSE,Alameda Running,,12.51,"1,024",2:01:56,177,246,9:45,7:08,17,23,0.93,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,9/17/2016 6:42,FALSE,Alameda Running,,12.47,985,1:59:25,178,195,9:35,7:00,9,17,0.95,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,9/3/2016 6:37,FALSE,Alameda Running,,12.44,"1,003",2:04:09,173,195,9:58,7:13,4,12,0.93,0,0,86,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,9/23/2017 6:33,FALSE,Alameda Running,,12.37,973,2:00:10,181,197,9:43,8:03,15,18,0.91,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,9/19/2015 6:34,FALSE,Alameda Running,,12.36,"1,006",2:00:49,177,197,9:46,6:50,16,23,0.93,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,9/9/2017 6:57,FALSE,Alameda Running,,12.35,964,1:55:27,181,202,9:21,6:32,14,20,0.95,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,4/23/2016 6:57,FALSE,Alameda Running,,12.3,"1,003",1:59:11,178,193,9:41,7:37,18,21,0.93,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,12/26/2015 8:34,FALSE,Alameda Running,,12.24,"1,004",1:59:52,178,197,9:47,7:44,30,32,0.92,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,10/8/2016 7:03,FALSE,Alameda Running,,12.22,944,2:02:09,174,244,10:00,7:18,18,18,0.92,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,9/5/2015 6:47,FALSE,Alameda Running,,12.21,"1,003",2:06:00,176,197,10:19,7:35,15,21,0.89,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,6/28/2014 7:57,FALSE,Untitled,,12.17,991,1:56:50,--,--,9:36,7:11,454,699,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,7/1/2017 6:47,FALSE,Alameda Running,,12.16,970,1:49:22,182,197,9:00,6:44,6,14,0.98,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,6/18/2016 7:46,FALSE,Berkeley Running,,12.16,992,2:06:03,175,194,10:22,7:30,695,759,0.89,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,4/27/2019 8:50,FALSE,Pittsburgh Running,,12.14,959,2:02:10,178,193,10:04,7:30,631,616,0.9,0,0,--,0,0,0,0:00,0,0:00,No,01:17.6,13,0
Running,5/29/2015 15:05,FALSE,treadmill running,,12.1,912,1:50:00,--,--,9:05,--,--,--,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,3/28/2015 7:46,FALSE,Alameda Running,,12.1,993,1:58:24,--,--,9:47,7:46,25,24,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,12/27/2014 9:14,FALSE,Alameda Running,,12.01,980,1:54:28,--,--,9:32,7:39,24,26,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,5/23/2015 4:36,FALSE,treadmill running ,,12,953,1:55:00,--,--,9:35,--,--,--,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,4/26/2014 13:21,FALSE,Untitled,,12,977,1:47:59,--,--,9:00,6:24,13,15,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,6/4/2016 8:00,FALSE,Berkeley Running,,11.85,890,2:00:00,--,--,10:08,--,--,--,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
